Row,sample size,Rmse Noisy 2Loop,Rmse Noisy 1Loop,Rmse Noiseless 2Loop,Rmse Noiseless 1Loop
0,30,0.378711889,74.09394155,8.60E-09,2.05E-07
1,40,0.334814617,36.88945614,2.98E-09,3.43E-08
2,50,0.446815156,4.574649982,2.00E-09,4.89E-09
3,60,0.290469778,14.64639807,8.65E-10,3.73E-08
4,70,0.288233889,0.504564136,8.83E-10,1.73E-09
5,80,0.276192702,0.498427852,1.20E-09,2.10E-09
6,90,0.341611102,0.645978835,7.16E-10,2.99E-09
7,100,0.342355158,0.539790883,8.28E-10,2.29E-09
8,110,0.326383471,1.434346409,9.86E-10,2.61E-09
9,120,0.377841765,0.521579682,9.71E-10,1.42E-09
10,130,0.338438982,0.560455427,7.57E-10,1.25E-09
11,140,0.379045722,0.692748037,1.05E-09,2.61E-09
12,150,0.417528125,0.703639752,6.95E-10,2.22E-09
13,160,0.416439375,0.755787494,9.13E-10,2.32E-09
14,170,0.418447764,0.561466224,6.88E-10,1.68E-09
15,180,0.456068331,0.560138114,7.32E-10,1.72E-09
