Row,sample size,Rmse Noisy 2Loop,Rmse Noisy 1Loop,Rmse Noiseless 2Loop,Rmse Noiseless 1Loop
0,30,0.378711889,74.09394125,8.60E-09,3.75E-07
1,40,0.334814617,36.88945612,2.98E-09,1.82E-08
2,50,0.446815156,4.574649975,2.00E-09,6.97E-09
3,60,0.290469778,14.64639804,8.65E-10,4.48E-09
4,70,0.288233889,0.504564136,8.83E-10,1.72E-09
5,80,0.276192702,0.498427853,1.20E-09,1.64E-09
6,90,0.341611102,0.645978835,7.16E-10,1.51E-09
7,100,0.342355158,0.539790882,8.28E-10,1.42E-09
8,110,0.326383471,1.434346408,9.86E-10,1.46E-09
9,120,0.377841765,0.521579682,9.71E-10,7.94E-10
10,130,0.338438982,0.560455427,7.57E-10,6.83E-10
11,140,0.379045722,0.692748037,1.05E-09,7.77E-10
12,150,0.417528125,0.703639753,6.95E-10,7.61E-10
13,160,0.416439375,0.755787492,9.13E-10,7.89E-10
14,170,0.418447764,0.561466225,6.88E-10,9.84E-10
15,180,0.456068331,0.560138114,7.32E-10,7.88E-10
16,190,0.4564325,0.578358362,8.32E-10,1.08E-09
17,200,0.428902275,0.615946493,8.94E-10,9.19E-10
